id;title;description;image;image_content_type;height;width;taken;uploaded
1;ADP Mountain Metal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;96762;29391;2020-01-12T20:25:02;2020-01-13T09:19:23
2;haptic European Unit of Account 9(E.U.A.-9);../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;94646;91521;2020-01-13T16:15:44;2020-01-12T20:33:13
3;Ergonomic;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;52434;48877;2020-01-13T16:09:10;2020-01-13T17:50:12
4;deposit Borders Cambridgeshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;10417;17002;2020-01-13T14:17:08;2020-01-13T03:46:00
5;neural compress;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2629;57552;2020-01-13T03:55:36;2020-01-12T23:08:23
6;Architect;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;56390;95468;2020-01-13T01:58:11;2020-01-13T03:56:35
7;seize;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;84740;96062;2020-01-13T15:45:54;2020-01-12T20:42:45
8;clear-thinking;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;51077;92865;2020-01-13T17:09:30;2020-01-12T20:36:03
9;Djibouti Franc Human;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;45824;48239;2020-01-13T09:09:50;2020-01-12T23:55:23
10;withdrawal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;16357;73368;2020-01-13T10:44:58;2020-01-13T18:05:17
